run	channel	sample	time	fluorescence	category
Run A	FAM	S1	1	424	S1
Run A	FAM	S1	2	417	S1
Run A	FAM	S1	3	414	S1
Run A	FAM	S1	4	413	S1
Run A	FAM	S1	5	412	S1
Run A	FAM	S1	6	413	S1
Run A	FAM	S1	7	414	S1
Run A	FAM	S1	8	415	S1
Run A	FAM	S1	9	416	S1
Run A	FAM	S1	10	417	S1
Run A	FAM	S1	11	418	S1
Run A	FAM	S1	12	420	S1
Run A	FAM	S1	13	421	S1
Run A	FAM	S1	14	422	S1
Run A	FAM	S1	15	423	S1
Run A	FAM	S1	16	424	S1
Run A	FAM	S1	17	425	S1
Run A	FAM	S1	18	426	S1
Run A	FAM	S1	19	426	S1
Run A	FAM	S1	20	427	S1
Run A	FAM	S1	21	428	S1
Run A	FAM	S1	22	428	S1
Run A	FAM	S1	23	428	S1
Run A	FAM	S1	24	428	S1
Run A	FAM	S1	25	429	S1
Run A	FAM	S1	26	429	S1
Run A	FAM	S1	27	429	S1
Run A	FAM	S1	28	430	S1
Run A	FAM	S1	29	430	S1
Run A	FAM	S1	30	430	S1
Run A	FAM	S1	31	430	S1
Run A	FAM	S1	32	430	S1
Run A	FAM	S1	33	430	S1
Run A	FAM	S1	34	430	S1
Run A	FAM	S1	35	430	S1
Run A	FAM	S1	36	430	S1
Run A	FAM	S1	37	430	S1
Run A	FAM	S1	38	430	S1
Run A	FAM	S1	39	430	S1
Run A	FAM	S1	40	430	S1
Run A	FAM	S1	41	430	S1
Run A	FAM	S1	42	430	S1
Run A	FAM	S1	43	430	S1
Run A	FAM	S1	44	430	S1
Run A	FAM	S1	45	430	S1
Run A	FAM	S1	46	430	S1
Run A	FAM	S1	47	430	S1
Run A	FAM	S1	48	430	S1
Run A	FAM	S1	49	430	S1
Run A	FAM	S1	50	430	S1
Run A	FAM	S1	51	430	S1
Run A	FAM	S1	52	431	S1
Run A	FAM	S1	53	431	S1
Run A	FAM	S1	54	431	S1
Run A	FAM	S1	55	431	S1
Run A	FAM	S1	56	431	S1
Run A	FAM	S1	57	431	S1
Run A	FAM	S1	58	431	S1
Run A	FAM	S1	59	432	S1
Run A	FAM	S1	60	432	S1
Run A	FAM	S1	61	432	S1
Run A	FAM	S1	62	432	S1
Run A	FAM	S1	63	433	S1
Run A	FAM	S1	64	433	S1
Run A	FAM	S1	65	433	S1
Run A	FAM	S1	66	433	S1
Run A	FAM	S1	67	433	S1
Run A	FAM	S1	68	434	S1
Run A	FAM	S1	69	434	S1
Run A	FAM	S1	70	434	S1
Run A	FAM	S1	71	434	S1
Run A	FAM	S1	72	435	S1
Run A	FAM	S1	73	435	S1
Run A	FAM	S1	74	435	S1
Run A	FAM	S1	75	436	S1
Run A	FAM	S1	76	436	S1
Run A	FAM	S1	77	436	S1
Run A	FAM	S1	78	436	S1
Run A	FAM	S1	79	437	S1
Run A	FAM	S1	80	437	S1
Run A	FAM	S1	81	438	S1
Run A	FAM	S1	82	438	S1
Run A	FAM	S1	83	438	S1
Run A	FAM	S1	84	439	S1
Run A	FAM	S1	85	439	S1
Run A	FAM	S1	86	439	S1
Run A	FAM	S1	87	440	S1
Run A	FAM	S1	88	440	S1
Run A	FAM	S1	89	440	S1
Run A	FAM	S1	90	441	S1
Run A	FAM	S1	91	441	S1
Run A	FAM	S1	92	441	S1
Run A	FAM	S1	93	442	S1
Run A	FAM	S1	94	442	S1
Run A	FAM	S1	95	442	S1
Run A	FAM	S1	96	443	S1
Run A	FAM	S1	97	443	S1
Run A	FAM	S1	98	444	S1
Run A	FAM	S1	99	444	S1
Run A	FAM	S1	100	445	S1
Run A	FAM	S1	101	445	S1
Run A	FAM	S1	102	445	S1
Run A	FAM	S1	103	446	S1
Run A	FAM	S1	104	446	S1
Run A	FAM	S1	105	447	S1
Run A	FAM	S1	106	447	S1
Run A	FAM	S1	107	448	S1
Run A	FAM	S1	108	448	S1
Run A	FAM	S1	109	448	S1
Run A	FAM	S1	110	449	S1
Run A	FAM	S1	111	449	S1
Run A	FAM	S1	112	450	S1
Run A	FAM	S1	113	450	S1
Run A	FAM	S1	114	450	S1
Run A	FAM	S1	115	451	S1
Run A	FAM	S1	116	451	S1
Run A	FAM	S1	117	452	S1
Run A	FAM	S1	118	452	S1
Run A	FAM	S1	119	453	S1
Run A	FAM	S1	120	453	S1
Run A	FAM	S1	121	454	S1
Run A	FAM	S1	122	454	S1
Run A	FAM	S1	123	454	S1
Run A	FAM	S1	124	455	S1
Run A	FAM	S1	125	455	S1
Run A	FAM	S1	126	456	S1
Run A	FAM	S1	127	456	S1
Run A	FAM	S1	128	457	S1
Run A	FAM	S1	129	457	S1
Run A	FAM	S1	130	458	S1
Run A	FAM	S1	131	458	S1
Run A	FAM	S1	132	459	S1
Run A	FAM	S1	133	459	S1
Run A	FAM	S1	134	460	S1
Run A	FAM	S1	135	460	S1
Run A	FAM	S1	136	461	S1
Run A	FAM	S1	137	461	S1
Run A	FAM	S1	138	462	S1
Run A	FAM	S1	139	462	S1
Run A	FAM	S1	140	463	S1
Run A	FAM	S1	141	464	S1
Run A	FAM	S1	142	464	S1
Run A	FAM	S1	143	464	S1
Run A	FAM	S1	144	465	S1
Run A	FAM	S1	145	466	S1
Run A	FAM	S1	146	466	S1
Run A	FAM	S1	147	467	S1
Run A	FAM	S1	148	467	S1
Run A	FAM	S1	149	468	S1
Run A	FAM	S1	150	468	S1
Run A	HEX	S1	1	585	S1
Run A	HEX	S1	2	629	S1
Run A	HEX	S1	3	715	S1
Run A	HEX	S1	4	849	S1
Run A	HEX	S1	5	1027	S1
Run A	HEX	S1	6	1240	S1
Run A	HEX	S1	7	1483	S1
Run A	HEX	S1	8	1748	S1
Run A	HEX	S1	9	2025	S1
Run A	HEX	S1	10	2313	S1
Run A	HEX	S1	11	2603	S1
Run A	HEX	S1	12	2887	S1
Run A	HEX	S1	13	3165	S1
Run A	HEX	S1	14	3431	S1
Run A	HEX	S1	15	3683	S1
Run A	HEX	S1	16	3917	S1
Run A	HEX	S1	17	4134	S1
Run A	HEX	S1	18	4331	S1
Run A	HEX	S1	19	4510	S1
Run A	HEX	S1	20	4671	S1
Run A	HEX	S1	21	4815	S1
Run A	HEX	S1	22	4941	S1
Run A	HEX	S1	23	5000	S1
Run A	HEX	S1	24	5000	S1
Run A	HEX	S1	25	5000	S1
Run A	HEX	S1	26	5000	S1
Run A	HEX	S1	27	5000	S1
Run A	HEX	S1	28	5000	S1
Run A	HEX	S1	29	5000	S1
Run A	HEX	S1	30	5000	S1
Run A	HEX	S1	31	5000	S1
Run A	HEX	S1	32	5000	S1
Run A	HEX	S1	33	5000	S1
Run A	HEX	S1	34	5000	S1
Run A	HEX	S1	35	5000	S1
Run A	HEX	S1	36	5000	S1
Run A	HEX	S1	37	5000	S1
Run A	HEX	S1	38	5000	S1
Run A	HEX	S1	39	5000	S1
Run A	HEX	S1	40	5000	S1
Run A	HEX	S1	41	5000	S1
Run A	HEX	S1	42	5000	S1
Run A	HEX	S1	43	5000	S1
Run A	HEX	S1	44	5000	S1
Run A	HEX	S1	45	5000	S1
Run A	HEX	S1	46	5000	S1
Run A	HEX	S1	47	5000	S1
Run A	HEX	S1	48	5000	S1
Run A	HEX	S1	49	5000	S1
Run A	HEX	S1	50	5000	S1
Run A	HEX	S1	51	5000	S1
Run A	HEX	S1	52	5000	S1
Run A	HEX	S1	53	5000	S1
Run A	HEX	S1	54	5000	S1
Run A	HEX	S1	55	5000	S1
Run A	HEX	S1	56	5000	S1
Run A	HEX	S1	57	5000	S1
Run A	HEX	S1	58	5000	S1
